1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
24828268,0.984586631,No,C1,19,18-24,North West,Female,Private rented,"£7,500-£9,499",Never Married,<=199,down >£100,<=25,Not applicable,Not applicable,Not applicable,Not applicable,No,No,No,No,No,No,Yes,No,No,No,Yes,"£8,500-£8,999",<£10,"keeping up, struggle from time to time",No,No,No,No,No,Yes,No,Yes,Yes,No,No,,Somewhat concerned,Yes,No,No,Yes,Yes,No,No,No,No,,Increased,don't kNow,easier,Yes,Eventually got the loan after some difficulty,No,Not applicable,Not applicable,<£500,Increase by £100-£149 a month,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,No,Decreased,"Not likely, but there is a small chance of a sharp fall in my household income",Yes,No,No,No,No,No,No,No,Yes,No,,,,,,,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Full Time Student,Yes,heavy
22648559,0.964923696,No,C2,46,45-54,South East,Female,Owned mortgage,"£30,000-£39,999",Widowed/Divorced/Separated,£500-£599,up £50-£100,£100-£149,Yes,"£275,000-£299,999","£100,000-£109,999",£750-£799,No,No,No,No,No,No,No,No,No,No,No,Not applicable,Not applicable,"keeping up, struggle from time to time",No,No,No,No,No,Yes,No,Yes,No,No,No,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Stayed the same,No,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,"£6,000 - £6,999",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Decreased,Not very likely - my household income is very secure,No,No,No,No,No,No,No,No,No,Yes,,,,,,,No,No,No,No,No,No,No,Yes,,,,,,,Self Employed,No,Not applicable
22250958,0.973969516,No,C1,48,45-54,Yorkshire & Humberside,Female,Owned mortgage,Refused,Widowed/Divorced/Separated,don't kNow,down >£100,None,Yes,"£225,000-£249,999","£50,000-£59,999",£200-£249,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,£500-£999,>=£500,"keeping up, constant struggle",No,No,No,No,No,Yes,Yes,No,No,No,No,,Somewhat concerned,Yes,Yes,No,No,No,No,No,No,No,,Increased,No,don't kNow,No,Not applicable,Not applicable,Not applicable,Not applicable,"£17,500 - £19,999",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Stayed the same,Quite likely - my household income could fall sharply,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Full Time Student,No,somewhat
23790686,1.00665182,No,E,32,25-34,Greater London,Female,Private rented,"£25,000-£29,999",Never Married,"£1,000-£1,199",down >£100,<=25,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,"£2,500-£2,999",£160-£179,"keeping up, constant struggle",No,No,No,No,No,Yes,Yes,Yes,No,No,No,,Very concerned,Yes,No,No,Yes,No,No,No,No,No,,Increased,Yes,harder,Yes,Got the loan but more costly than anticipated,Yes,More than 8 years,More than 8 years,None,don't kNow,,,,,,,,,,,,,,,,,,,,,No,Increased,"Not likely, but there is a small chance of a sharp fall in my household income",Yes,No,No,No,No,No,No,No,Yes,No,,,,,,,No,No,No,No,No,No,No,Yes,,,,,,,In Paid Employment ,Yes,heavy
21377564,0.965078396,No,D,47,45-54,Greater London,Female,Owned outright,"£17,500-£24,999",Married or Couple,£300-£399,down >£100,£50-£99,Yes,,Not applicable,Not applicable,No,No,No,Yes,No,No,No,No,No,No,Yes,£200-£499,£240-£259,"keeping up, struggle from time to time",No,No,No,No,No,Yes,No,No,No,No,No,,Somewhat concerned,Yes,Yes,No,No,No,No,No,No,No,,Stayed the same,Yes,harder,No,Not applicable,Not applicable,Not applicable,Not applicable,None,don't kNow,,,,,,,,,,,,,,,,,,,,,No,Decreased,"Not likely, but there is a small chance of a sharp fall in my household income",Yes,No,No,No,No,Yes,No,No,No,No,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Something Else,No,somewhat
24869209,0.990246674,No,C2,52,45-54,North,Male,Owned mortgage,"£40,000-£49,999",Married or Couple,<=199,down >£100,None,Yes,"£125,000-£149,999","£60,000-£69,999","£1,000-£1,249",No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,"£25,000-£29,999",£10-£19,"keeping up, constant struggle",No,Yes,No,No,Yes,No,No,Yes,No,No,No,,Somewhat concerned,Yes,Yes,No,Yes,No,No,No,No,No,,Stayed the same,Yes,harder,Yes,Application still ongoing,Not applicable,Not applicable,Not applicable,None,Increase by £50-£99 a month,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,,,,,,,No,Stayed the same,Not very likely - my household income is very secure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,In Paid Employment ,Yes,heavy
20926659,1.04088589,No,C1,59,55-64,Wales,Female,Owned mortgage,"£25,000-£29,999",Married or Couple,£800-£899,down £50-£100,£200-£249,Yes,"£150,000-£174,999","<£10,000",<£100,No,Yes,No,Yes,No,No,No,No,No,No,Yes,"£2,000-£2,499",£180-£199,"keeping up, struggle from time to time",No,No,No,No,No,Yes,Yes,Yes,No,No,No,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Stayed the same,don't kNow,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,"£75,000 - £99,999",don't kNow,,,,,,,,,,,,,,,,,,,,,Yes,Increased,"Not likely, but there is a small chance of a sharp fall in my household income",Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Not in work - long term illness or disability ,No,somewhat
22661387,1.03551616,No,E,59,55-64,Wales,Female,Owned outright,"£25,000-£29,999",Never Married,£800-£899,No change,None,Yes,,Not applicable,Not applicable,No,No,No,No,No,No,No,No,No,No,No,Not applicable,Not applicable,"keeping up, struggle from time to time",No,No,No,No,No,Yes,Yes,No,No,No,No,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Stayed the same,No,the same,No,Not applicable,Not applicable,Not applicable,Not applicable,"£75,000 - £99,999",don't kNow,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,Quite likely - my household income could fall sharply,Yes,No,No,No,No,No,No,No,Yes,No,,,,,,,No,No,No,No,No,No,Yes,No,,,,,,,Not in work - long term illness or disability ,No,Not applicable
23750762,0.995010758,No,E,55,55-64,North West,Male,Owned outright,"£30,000-£39,999",Widowed/Divorced/Separated,"£1,800-£1,999",up <£50,£200-£249,Yes,,Not applicable,Not applicable,No,No,No,Yes,No,No,No,No,No,No,Yes,<£200,<£10,keeping up without much difficulty,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Stayed the same,No,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,">=£150,000",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,Not very likely - my household income is very secure,No,No,No,No,No,No,No,No,Yes,No,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Retired,No,No
21647052,0.95994584,No,C1,49,45-54,South East,Female,Owned outright,"£50,000-£74,999",Married or Couple,<=199,No change,£25-£49,Yes,,Not applicable,Not applicable,No,No,No,No,No,No,No,No,No,No,No,Not applicable,Not applicable,keeping up without much difficulty,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Stayed the same,No,don't kNow,No,Not applicable,Not applicable,Not applicable,Not applicable,"£20,000 - £24,999",don't kNow,,,,,,,,,,,,,,,,,,,,,Yes,don't kNow,don't kNow,don't kNow,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,Something Else,No,Not applicable
